date,balance,daily_pnl
2024-06-21,6425.14,-132.51
2024-06-22,6296.03,-129.11
2024-06-23,6041.33,-254.7
2024-06-24,5723.79,-317.54
2024-06-25,5779.96,56.17
2024-06-29,5717.31,-62.65
2024-07-01,5785.75,68.44
2024-07-03,5551.87,-233.88
2024-07-04,6207.42,655.55
2024-07-05,6408.85,201.43
2024-07-06,6060.51,-348.34
2024-07-07,6171.13,110.62
2024-07-08,6355.91,184.78
2024-07-09,6180.55,-175.36
2024-07-10,6113.87,-66.68
2024-07-11,6045.07,-68.8
2024-07-14,5834.99,-210.08
2024-07-15,5587.83,-247.16
2024-07-16,5156.15,-431.68
2024-07-18,5090.67,-65.48
2024-07-19,5137.6,46.93
2024-07-21,4991.44,-146.16
2024-07-22,5451.22,459.78
2024-07-23,5626.09,174.87
2024-07-24,5627.77,1.68
2024-07-25,5675.91,48.14
2024-07-26,5735.02,59.11
2024-07-29,5644.58,-90.44
2024-07-30,5937.29,292.71
2024-07-31,6007.62,70.33
2024-08-01,6479.75,472.13
2024-08-02,7080.03,600.28
2024-08-03,7484.19,404.16
2024-08-04,8051.59,567.4
2024-08-05,7714.8,-336.79
2024-08-06,7632.61,-82.19
2024-08-07,7609.84,-22.77
2024-08-12,7530.58,-79.26
2024-08-15,7247.25,-283.33
2024-08-16,6663.12,-584.13
2024-08-18,6447.45,-215.67
2024-08-19,6377.42,-70.03
2024-08-20,6205.31,-172.11
2024-08-21,5835.48,-369.83
2024-08-23,5575.41,-260.07
2024-08-24,5415.11,-160.3
2024-08-27,5948.2,533.09
2024-08-28,6006.46,58.26
2024-09-01,6010.41,3.95
2024-09-02,5350.79,-659.62
2024-09-04,5698.4,347.61
2024-09-06,5293.66,-404.74
2024-09-07,5006.94,-286.72
2024-09-09,5455.11,448.17
2024-09-11,5337.88,-117.23
2024-09-13,5182.21,-155.67
2024-09-14,5231.83,49.62
2024-09-16,5175.11,-56.72
2024-09-17,5118.11,-57.0
