session_day,anchor_ms,anchor_et,event_type,level,hit_ms,hit_et,minutes_to_hit,anchor_close,hit_close,move_anchor_to_hit_pct,hit_candle_range,hit_candle_range_pct_of_level,hit_candle_volume,hit_volume_zscore_24bars,forward_close,forward_return_pct,continuation_move_abs,continuation_move_pct_of_level
2025-07-02,1751490000000,2025-07-02 17:00,daily_high,2.2367,1751490000000,2025-07-02 17:00,0.0,2.2575,2.2575,0.0,0.006299999999999972,0.2817,1481643.6,0.0,2.2545,-0.1329,0.0249,1.1132
2025-07-04,1751662800000,2025-07-04 17:00,daily_low,2.2382,1751662800000,2025-07-04 17:00,0.0,2.2195,2.2195,0.0,0.0026000000000001577,0.1162,1649294.1,0.0,2.2156,-0.1757,0.0254,1.1348
2025-07-07,1751922000000,2025-07-07 17:00,daily_high,2.2897,1751969400000,2025-07-08 06:10,790.0,2.2694,2.2893,0.8769,0.004100000000000215,0.1791,2376013.7,1.0467,2.2893,0.0,0.0085,0.3712
2025-07-11,1752267600000,2025-07-11 17:00,daily_high,2.5924,1752267600000,2025-07-11 17:00,0.0,2.7742,2.7742,0.0,0.022299999999999986,0.8602,8888410.3,0.0,2.7531,-0.7606,0.1848,7.1285
2025-07-14,1752526800000,2025-07-14 17:00,daily_high,2.948,1752528900000,2025-07-14 17:35,35.0,2.9255,2.9475,0.752,0.011800000000000033,0.4003,2780651.0,0.828,2.9451,-0.0814,0.002,0.0678
2025-07-21,1753131600000,2025-07-21 17:00,daily_high,3.5598,1753135200000,2025-07-21 18:00,60.0,3.5327,3.5603,0.7813,0.011400000000000077,0.3202,2571143.9,0.2168,3.5574,-0.0815,0.0146,0.4101
2025-07-22,1753218000000,2025-07-22 17:00,daily_low,3.4609,1753259700000,2025-07-23 04:35,695.0,3.5381,3.4601,-2.2046,0.011200000000000099,0.3236,3217544.2,0.861,3.4525,-0.2196,0.0195,0.5634
2025-07-24,1753390800000,2025-07-24 17:00,daily_low,3.05,1753414200000,2025-07-24 23:30,390.0,3.2251,3.0534,-5.3239,0.044099999999999806,1.4459,18555707.5,4.7554,3.0962,1.4017,0.0047,0.1541
2025-07-28,1753736400000,2025-07-28 17:00,daily_low,3.1609,1753736400000,2025-07-28 17:00,0.0,3.1493,3.1493,0.0,0.015199999999999658,0.4809,1896142.4,0.0,3.1467,-0.0826,0.0323,1.0219
2025-07-29,1753822800000,2025-07-29 17:00,daily_low,3.0762,1753874100000,2025-07-30 07:15,855.0,3.1027,3.073,-0.9572,0.026699999999999946,0.868,7088435.7,3.2878,,,0.0351,1.141
2025-08-01,1754082000000,2025-08-01 17:00,daily_low,2.9279,1754087100000,2025-08-01 18:25,85.0,3.0229,2.9323,-2.9971,0.03770000000000007,1.2876,14674314.8,3.7835,2.9569,0.8389,0.0349,1.192
2025-08-04,1754341200000,2025-08-04 17:00,daily_high,3.0297,1754341200000,2025-08-04 17:00,0.0,3.0551,3.0551,0.0,0.009399999999999853,0.3103,2058713.2,0.0,3.0748,0.6448,0.0469,1.548
2025-08-05,1754427600000,2025-08-05 17:00,daily_low,2.9648,1754427600000,2025-08-05 17:00,0.0,2.9458,2.9458,0.0,0.013100000000000112,0.4419,2552940.8,0.0,2.9189,-0.9132,0.05,1.6865
2025-08-06,1754514000000,2025-08-06 17:00,daily_high,3.0793,1754565000000,2025-08-07 07:10,850.0,2.9996,3.0808,2.707,0.01200000000000001,0.3897,4579260.0,0.1603,,,0.0081,0.263
