symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
BTCUSDT,14.0,2023-06-05T16:00:00+00:00,2023-06-05T16:00:00+00:00,2743,1,25991.9,25971.0,20.900000000001455,26284.500000000022,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.3730894736841845,-1.3730894736841845,SL,1
BTCUSDT,14.0,2023-06-10T08:00:00+00:00,2023-06-10T17:00:00+00:00,2771,1,25637.3,25445.0,192.29999999999927,28329.49999999999,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0399957878315134,-1.0399957878315134,SL,109
BTCUSDT,14.0,2023-06-15T00:00:00+00:00,2023-06-15T11:15:00+00:00,2799,1,25115.9,24796.8,319.1000000000022,29583.300000000032,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0236125665935443,-1.0236125665935443,SL,136
BTCUSDT,14.0,2023-06-21T00:00:00+00:00,2023-06-21T00:20:00+00:00,2835,-1,28290.7,28397.8,107.09999999999854,26791.30000000002,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0792456582633063,-1.0792456582633063,SL,5
BTCUSDT,14.0,2023-07-24T12:00:00+00:00,2023-07-24T15:05:00+00:00,3036,1,29259.7,28904.4,355.2999999999993,34233.899999999994,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0247056290458767,-1.0247056290458767,SL,38
BTCUSDT,14.0,2023-08-01T04:00:00+00:00,2023-08-01T06:45:00+00:00,3082,1,28820.1,28684.7,135.39999999999782,30715.699999999968,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0638554652880365,0.6361445347119663,BE,34
BTCUSDT,14.0,2023-08-17T00:00:00+00:00,2023-08-17T00:00:00+00:00,3177,1,28714.4,28705.1,9.30000000000291,28844.600000000042,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.9262709677416456,-1.9262709677416456,SL,1
BTCUSDT,14.0,2023-08-24T16:00:00+00:00,2023-08-24T16:00:00+00:00,3223,1,25987.3,25972.5,14.799999999999272,26194.49999999999,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.5267695945946205,0.1732304054054533,BE,1
BTCUSDT,14.0,2023-08-25T08:00:00+00:00,2023-08-25T08:00:00+00:00,3227,1,25969.4,25918.5,50.900000000001455,26682.000000000022,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.1530612966601135,0.5469387033398865,BE,1
BTCUSDT,14.0,2023-08-25T16:00:00+00:00,2023-08-26T00:40:00+00:00,3229,1,25917.3,25754.4,162.89999999999782,28197.89999999997,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0477298342541443,0.652270165745858,BE,105
BTCUSDT,14.0,2023-09-01T20:00:00+00:00,2023-09-02T16:25:00+00:00,3272,1,25637.2,25312.0,325.2000000000007,30190.00000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.023650553505535,0.6763494464944616,BE,246
BTCUSDT,14.0,2023-09-11T16:00:00+00:00,2023-09-11T20:00:00+00:00,3331,1,25102.4,24915.0,187.40000000000146,27726.000000000022,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0401852721451437,-1.0401852721451437,SL,49
BTCUSDT,14.0,2023-09-25T12:00:00+00:00,2023-09-25T13:50:00+00:00,3414,1,26064.5,25965.0,99.5,27457.5,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,13.921413567839195,0.6214135678392106,BE,23
