tf_rule,bar_start_utc,bar_end_utc,hour_utc,weekday,weekday_name,event,atr,atr_roc_1,d_atr,close,fwd_range_pct_48m,fwd_range_pct_192m,fwd_range_pct_288m
4h,2022-12-10T04:00:00+00:00,2022-12-10T08:00:00+00:00,8,5,Saturday,contract,0.005098932613647113,-0.05013870855118541,-0.0002691486625882398,0.3876,0.5933952528379836,1.0577915376676967,1.0577915376676967
4h,2022-12-11T08:00:00+00:00,2022-12-11T12:00:00+00:00,12,6,Sunday,contract,0.003935076482129751,-0.04186236482506678,-0.00017192896016382866,0.3858,0.6998444790046748,4.613789528252977,4.613789528252977
4h,2022-12-11T20:00:00+00:00,2022-12-12T00:00:00+00:00,0,0,Monday,expand,0.004162850958906363,0.11627803440389006,0.00043362684931489304,0.3806,3.441933788754598,3.441933788754598,5.25486074619023
4h,2022-12-12T00:00:00+00:00,2022-12-12T04:00:00+00:00,4,0,Monday,expand,0.004801218747555909,0.15334870139507784,0.0006383677886495458,0.3738,1.177100053504552,2.43445692883895,4.654895666131628
4h,2022-12-14T16:00:00+00:00,2022-12-14T20:00:00+00:00,20,2,Wednesday,expand,0.006408206418908022,0.14566196278091414,0.0008147533523916919,0.3818,1.8072289156626409,2.6453640649554737,3.6668412781560917
4h,2022-12-15T04:00:00+00:00,2022-12-15T08:00:00+00:00,8,3,Thursday,contract,0.00634195681572191,-0.050029808991317926,-0.00033399667813245517,0.3805,0.9198423127463726,2.7332457293035386,2.7332457293035386
4h,2022-12-16T08:00:00+00:00,2022-12-16T12:00:00+00:00,12,4,Friday,expand,0.006948111862068376,0.23271541229321668,0.0013116837029178187,0.3649,1.3702384214853396,6.138668128254309,6.138668128254309
4h,2022-12-16T20:00:00+00:00,2022-12-17T00:00:00+00:00,0,5,Saturday,expand,0.007908746997435939,0.1640721209146343,0.001114711769428003,0.3508,2.0809578107183664,2.309007981755985,3.0501710376282745
4h,2022-12-17T12:00:00+00:00,2022-12-17T16:00:00+00:00,16,5,Saturday,contract,0.007206117841362142,-0.044921126090172514,-0.0003389321416432389,0.3523,1.7030939540164647,2.583025830258302,2.583025830258302
4h,2022-12-19T00:00:00+00:00,2022-12-19T04:00:00+00:00,4,0,Monday,expand,0.006615165737126718,0.11957501380815394,0.000706525712528717,0.341,1.6422287390029304,4.193548387096768,4.193548387096768
4h,2022-12-21T16:00:00+00:00,2022-12-21T20:00:00+00:00,20,2,Wednesday,contract,0.0062702413207870915,-0.04196167787535554,-0.0002746339477528543,0.343,1.4868804664723012,1.865889212827977,1.9825072886297295
4h,2022-12-24T08:00:00+00:00,2022-12-24T12:00:00+00:00,12,5,Saturday,contract,0.004493061172624288,-0.05029134178201278,-0.00023792778250956385,0.352,0.42613636363636404,1.3068181818181799,1.647727272727265
4h,2022-12-24T12:00:00+00:00,2022-12-24T16:00:00+00:00,16,5,Saturday,contract,0.00427927108886541,-0.0475822775486513,-0.0002137900837588776,0.3512,0.3986332574031768,1.3097949886104763,2.818906605922541
4h,2022-12-24T16:00:00+00:00,2022-12-24T20:00:00+00:00,20,5,Saturday,contract,0.0040736088682321635,-0.048060105649388785,-0.0002056622206332466,0.352,0.42613636363636404,1.647727272727265,2.8124999999999902
