date,balance,daily_pnl
2024-08-01,1657797.82,249210.89
2024-08-02,1977549.11,319751.29
2024-08-03,2407521.81,429972.7
2024-08-04,2629061.84,221540.03
2024-08-05,2845549.87,216488.03
2024-08-06,2831208.58,-14341.29
2024-08-09,2802798.38,-28410.2
2024-08-11,2917983.38,115185.0
2024-08-12,2570370.89,-347612.49
2024-08-13,2534523.13,-35847.76
2024-08-15,2403813.15,-130709.98
2024-08-16,2182332.83,-221480.32
2024-08-17,2146814.76,-35518.07
2024-08-18,2074417.65,-72397.11
2024-08-19,1900382.2,-174035.45
2024-08-20,1725345.61,-175036.59
2024-08-21,1562865.53,-162480.08
2024-08-23,1490593.45,-72272.08
2024-08-24,1469676.85,-20916.6
2024-08-25,1441109.19,-28567.66
2024-08-26,1637142.11,196032.92
2024-08-27,1837066.62,199924.51
2024-08-28,1801804.16,-35262.46
2024-08-29,1699550.96,-102253.2
2024-08-30,1774778.43,75227.47
2024-09-01,1745753.96,-29024.47
2024-09-02,1461398.67,-284355.29
2024-09-04,1505055.58,43656.91
2024-09-06,1786373.88,281318.3
2024-09-07,1727952.8,-58421.08
2024-09-08,1706639.59,-21313.21
2024-09-09,1602582.05,-104057.54
2024-09-11,1464706.93,-137875.12
2024-09-13,1423941.3,-40765.63
2024-09-15,1416750.86,-7190.44
2024-09-17,1330303.76,-86447.1
2024-09-18,1292912.23,-37391.53
2024-09-19,1285367.52,-7544.71
2024-09-22,1359255.95,73888.43
2024-09-23,1314425.81,-44830.14
2024-09-24,1277861.53,-36564.28
2024-09-25,1284164.45,6302.92
2024-09-26,1259779.23,-24385.22
2024-09-28,1217999.52,-41779.71
2024-09-30,1161099.51,-56900.01
2024-10-01,1514643.44,353543.93
2024-10-02,1545279.69,30636.25
2024-10-03,1867770.88,322491.19
2024-10-04,1732045.84,-135725.04
2024-10-06,1656855.18,-75190.66
2024-10-07,1562016.55,-94838.63
2024-10-08,1589585.55,27569.0
2024-10-09,1659210.96,69625.41
2024-10-10,1608464.16,-50746.8
2024-10-13,1554718.71,-53745.45
2024-10-14,1479250.56,-75468.15
2024-10-15,1285632.87,-193617.69
2024-10-16,1382706.28,97073.41
2024-10-17,1367060.86,-15645.42
2024-10-18,1373798.41,6737.55
2024-10-20,1354183.47,-19614.94
2024-10-21,1301999.21,-52184.26
2024-10-23,1277246.23,-24752.98
2024-10-24,1270373.86,-6872.37
2024-10-25,1217121.65,-53252.21
2024-10-27,1182517.22,-34604.43
2024-10-28,1116888.08,-65629.14
2024-10-29,1072918.43,-43969.65
2024-10-30,1022841.63,-50076.8
2024-10-31,1051481.01,28639.38
2024-11-01,1027508.56,-23972.45
2024-11-03,1076824.36,49315.8
2024-11-04,1068257.06,-8567.3
2024-11-05,968854.19,-99402.87
2024-11-07,964007.21,-4846.98
2024-11-08,937103.13,-26904.08
2024-11-10,894135.99,-42967.14
2024-11-11,1343831.31,449695.32
2024-11-12,1318539.6,-25291.71
2024-11-13,1411067.13,92527.53
2024-11-14,1447523.87,36456.74
2024-11-15,1427470.31,-20053.56
2024-11-16,1420330.86,-7139.45
2024-11-17,1478192.04,57861.18
2024-11-18,1467182.15,-11009.89
2024-11-19,1517563.2,50381.05
2024-11-20,1510206.7,-7356.5
2024-11-21,1560427.87,50221.17
2024-11-22,1610194.06,49766.19
2024-11-23,1580540.73,-29653.33
2024-11-24,1483963.72,-96577.01
2024-11-25,1434950.68,-49013.04
2024-11-26,1441618.6,6667.92
2024-11-27,1426396.29,-15222.31
2024-11-29,1341810.19,-84586.1
2024-11-30,1322934.06,-18876.13
2024-12-01,1260504.94,-62429.12
2024-12-02,1173847.46,-86657.48
2024-12-03,1313451.32,139603.86
2024-12-04,1261409.41,-52041.91
2024-12-05,1337501.56,76092.15
2024-12-08,1300290.01,-37211.55
2024-12-09,1534200.43,233910.42
2024-12-10,1409636.43,-124564.0
2024-12-11,1346673.33,-62963.1
2024-12-12,1339940.22,-6733.11
2024-12-14,1321282.48,-18657.74
2024-12-15,1311174.25,-10108.23
2024-12-16,1180093.68,-131080.57
2024-12-17,1086709.68,-93384.0
2024-12-18,1065258.51,-21451.17
2024-12-19,1220659.33,155400.82
2024-12-20,1182561.8,-38097.53
2024-12-23,1149360.97,-33200.83
2024-12-27,1117111.31,-32249.66
2024-12-28,1060448.61,-56662.7
2024-12-30,931926.59,-128522.02
2025-01-02,902184.1,-29742.49
2025-01-03,889511.99,-12672.11
2025-01-04,877111.47,-12400.52
2025-01-05,872622.17,-4489.3
2025-01-07,863866.1,-8756.07
2025-01-08,877026.56,13160.46
2025-01-09,864776.78,-12249.78
2025-01-10,828501.6,-36275.18
2025-01-12,824335.78,-4165.82
2025-01-13,1246167.59,421831.81
2025-01-14,1235279.14,-10888.45
2025-01-15,1228797.01,-6482.13
2025-01-16,1165160.33,-63636.68
2025-01-17,1148923.26,-16237.07
2025-01-18,1113761.06,-35162.2
2025-01-19,1082405.02,-31356.04
2025-01-20,1046997.16,-35407.86
2025-01-21,1017830.39,-29166.77
2025-01-23,1003593.0,-14237.39
2025-01-27,1122859.57,119266.57
2025-01-28,1101748.78,-21110.79
2025-01-29,1095932.28,-5816.5
2025-01-30,1058440.9,-37491.38
2025-02-01,1130763.25,72322.35
2025-02-02,1212591.06,81827.81
2025-02-03,1675814.43,463223.37
2025-02-08,1601495.11,-74319.32
2025-02-09,1492791.46,-108703.65
2025-02-10,1365202.57,-127588.89
2025-02-11,1358327.95,-6874.62
2025-02-12,1320309.16,-38018.79
2025-02-14,1313651.59,-6657.57
2025-02-17,1244221.97,-69429.62
2025-02-18,1290156.18,45934.21
2025-02-19,1264938.79,-25217.39
2025-02-20,1225844.1,-39094.69
2025-02-21,1208791.56,-17052.54
2025-02-22,1185511.44,-23280.12
2025-02-24,1639424.58,453913.14
2025-02-25,1934205.25,294780.67
2025-02-26,2019390.49,85185.24
2025-02-28,2179731.15,160340.66
2025-03-03,2548215.22,368484.07
2025-03-04,2674615.2,126399.98
2025-03-05,2640519.21,-34095.99
2025-03-06,2617500.31,-23018.9
2025-03-07,2468737.55,-148762.76
2025-03-09,2716702.51,247964.96
2025-03-10,2844147.53,127445.02
2025-03-11,2773219.92,-70927.61
2025-03-16,2743924.06,-29295.86
2025-03-17,2628578.84,-115345.22
2025-03-18,2554718.5,-73860.34
2025-03-19,2386170.44,-168548.06
2025-03-20,2374038.23,-12132.21
2025-03-21,2277323.71,-96714.52
2025-03-22,2100891.45,-176432.26
2025-03-23,1936075.0,-164816.45
2025-03-24,1685119.25,-250955.75
2025-03-25,1685904.93,785.68
2025-03-26,1755921.2,70016.27
2025-03-27,1747077.4,-8843.8
2025-03-28,1888746.87,141669.47
2025-03-31,1862381.2,-26365.67
2025-04-01,1852300.03,-10081.17
2025-04-02,1790563.6,-61736.43
2025-04-03,1747032.93,-43530.67
2025-04-04,1575030.8,-172002.13
2025-04-06,1697978.4,122947.6
2025-04-07,2253025.17,555046.77
2025-04-08,2244082.31,-8942.86
2025-04-10,2199106.37,-44975.94
2025-04-12,2109472.8,-89633.57
2025-04-13,1991313.09,-118159.71
2025-04-14,1953634.94,-37678.15
2025-04-15,1893785.8,-59849.14
2025-04-16,1734955.38,-158830.42
2025-04-17,1707205.89,-27749.49
2025-04-20,1632284.92,-74920.97
2025-04-21,1578250.04,-54034.88
2025-04-22,1382832.88,-195417.16
2025-04-25,1363539.44,-19293.44
2025-04-27,1344213.57,-19325.87
2025-04-28,1311679.61,-32533.96
2025-04-30,1461570.12,149890.51
2025-05-01,1419194.27,-42375.85
2025-05-02,1412009.22,-7185.05
2025-05-03,1404758.08,-7251.14
2025-05-04,1361959.78,-42798.3
2025-05-05,1253314.67,-108645.11
2025-05-06,1235732.17,-17582.5
2025-05-07,1229427.32,-6304.85
2025-05-08,1222141.36,-7285.96
2025-05-09,1215997.24,-6144.12
2025-05-10,2042511.65,826514.41
2025-05-11,2022017.74,-20493.91
2025-05-12,2083525.82,61508.08
2025-05-13,1992540.52,-90985.3
2025-05-15,1970310.79,-22229.73
2025-05-16,1942514.92,-27795.87
2025-05-18,1596973.96,-345540.96
2025-05-19,1491527.58,-105446.38
