exit_ts,symbol,pnl_r,reason,pnl_usd,equity
2025-05-22 12:00:00+00:00,SOLUSDT,-1.1846137931034533,SL,-5820.5,190716.06
2025-05-22 20:00:00+00:00,LINKUSDT,2.944006666666669,BE,14036.73,204752.79
2025-05-23 04:00:00+00:00,DOGEUSDT,-1.2945759999999997,SL,-6626.7,198126.09
2025-05-23 04:00:00+00:00,SOLUSDT,-1.0445314049586785,SL,-5173.72,192952.37
2025-05-23 08:00:00+00:00,LINKUSDT,7.83948125,TP,37816.16,230768.53
2025-05-29 00:00:00+00:00,XRPUSDT,7.60715882352942,TP,43887.32,274655.85
2025-05-30 16:00:00+00:00,DOGEUSDT,-1.0146198090692125,SL,-6966.78,267689.07
2025-05-30 20:00:00+00:00,LINKUSDT,-1.0418705882352939,SL,-6972.43,260716.63
2025-05-30 20:00:00+00:00,SOLUSDT,-1.0374744186046514,SL,-6762.17,253954.46
2025-05-31 04:00:00+00:00,XRPUSDT,-1.0593972222222214,SL,-6725.97,247228.5
2025-06-01 08:00:00+00:00,SOLUSDT,-1.0223024038461541,SL,-6318.56,240909.94
2025-06-02 08:00:00+00:00,DOGEUSDT,0.980979,BE,5908.19,246818.13
2025-06-06 00:00:00+00:00,BTCUSDT,-1.0819353887399463,SL,-6676.03,240142.1
2025-06-06 00:00:00+00:00,DOGEUSDT,-1.0119361556064073,SL,-6075.21,234066.89
2025-06-06 00:00:00+00:00,LINKUSDT,-1.0341043103448277,SL,-6051.24,228015.65
2025-06-06 00:00:00+00:00,SOLUSDT,-1.021176811594203,SL,-5821.11,222194.54
2025-06-08 20:00:00+00:00,XRPUSDT,-1.041900613496933,SL,-5787.62,216406.92
2025-06-09 16:00:00+00:00,BTCUSDT,-1.4822737313432834,SL,-8019.36,208387.57
2025-06-10 00:00:00+00:00,XRPUSDT,-1.0374135869565222,SL,-5404.6,202982.96
2025-06-10 04:00:00+00:00,SOLUSDT,5.920775409836064,BE,30045.41,233028.38
2025-06-10 08:00:00+00:00,LINKUSDT,-1.028557236842105,SL,-5992.08,227036.3
2025-06-11 00:00:00+00:00,SOLUSDT,-1.0254191709844558,SL,-5820.18,221216.12
2025-06-11 12:00:00+00:00,DOGEUSDT,0.9859125290023202,BE,5452.49,226668.61
2025-06-11 20:00:00+00:00,XRPUSDT,5.94551484375,BE,33691.54,260360.15
2025-06-13 08:00:00+00:00,XRPUSDT,0.9851475524475525,BE,6412.33,266772.48
2025-06-17 00:00:00+00:00,BTCUSDT,7.8868024322446155,TP,52599.55,319372.03
2025-06-21 20:00:00+00:00,DOGEUSDT,-1.0400324999999997,SL,-8303.93,311068.09
2025-06-22 00:00:00+00:00,LINKUSDT,-1.3047249999999884,SL,-10146.46,300921.64
2025-06-22 12:00:00+00:00,SOLUSDT,-1.0083530864197532,SL,-7585.88,293335.75
2025-06-22 12:00:00+00:00,XRPUSDT,-1.0083004032258065,SL,-7394.26,285941.49
2025-06-22 20:00:00+00:00,BTCUSDT,-1.4722119426751372,SL,-10524.16,275417.33
2025-06-24 20:00:00+00:00,LINKUSDT,0.9569451612903226,BE,6588.98,282006.31
2025-06-25 00:00:00+00:00,XRPUSDT,7.825826315789475,TP,55173.31,337179.62
2025-06-25 12:00:00+00:00,BTCUSDT,-1.1571497050147537,SL,-9754.18,327425.44
2025-06-27 08:00:00+00:00,BTCUSDT,2.9406693114874813,BE,24071.25,351496.69
2025-06-29 00:00:00+00:00,SOLUSDT,0.9780650485436894,BE,8594.67,360091.35
2025-06-29 16:00:00+00:00,BTCUSDT,5.219274358973667,TP,46985.39,407076.74
2025-06-30 04:00:00+00:00,BTCUSDT,-1.1717385835095164,SL,-11924.69,395152.05
2025-06-30 04:00:00+00:00,DOGEUSDT,7.91804677419355,TP,78220.81,473372.86
2025-06-30 04:00:00+00:00,LINKUSDT,2.975532142857143,BE,35213.4,508586.27
2025-06-30 20:00:00+00:00,SOLUSDT,2.9787753363228697,BE,37874.11,546460.37
2025-07-01 00:00:00+00:00,XRPUSDT,7.908448684210527,TP,108041.35,654501.72
2025-07-02 20:00:00+00:00,BTCUSDT,-1.5508212837836752,SL,-25375.38,629126.34
2025-07-03 00:00:00+00:00,DOGEUSDT,2.970364161849711,BE,46718.36,675844.7
2025-07-03 00:00:00+00:00,LINKUSDT,7.782610526315791,TP,131495.9,807340.6
2025-07-03 12:00:00+00:00,BTCUSDT,-1.071943951701427,SL,-21635.6,785705.0
2025-07-03 12:00:00+00:00,DOGEUSDT,-1.0737112676056322,SL,-21090.51,764614.49
2025-07-03 12:00:00+00:00,LINKUSDT,-1.138770000000003,SL,-21768.0,742846.49
2025-07-03 12:00:00+00:00,SOLUSDT,7.870391666666661,TP,146162.32,889008.81
2025-07-03 16:00:00+00:00,XRPUSDT,2.9558538461538464,BE,65694.5,954703.32
2025-07-04 00:00:00+00:00,BTCUSDT,0.9555212915428261,BE,22805.98,977509.3
2025-07-07 04:00:00+00:00,DOGEUSDT,-1.0155313253012048,SL,-24817.28,952692.02
2025-07-07 20:00:00+00:00,XRPUSDT,5.9405567796610175,BE,141488.03,1094180.04
2025-07-09 00:00:00+00:00,LINKUSDT,-1.1669199999999975,SL,-31920.51,1062259.53
2025-07-09 00:00:00+00:00,XRPUSDT,7.367136363636422,TP,195645.27,1257904.8
2025-07-09 12:00:00+00:00,LINKUSDT,2.936668656716418,BE,92351.24,1350256.04
2025-07-09 12:00:00+00:00,XRPUSDT,-1.1165399999999956,SL,-37690.37,1312565.67
2025-07-10 00:00:00+00:00,BTCUSDT,2.8946049056603775,BE,94983.98,1407549.64
2025-07-10 00:00:00+00:00,DOGEUSDT,-1.0680346153846152,SL,-37582.79,1369966.85
2025-07-10 00:00:00+00:00,SOLUSDT,-1.0827526315789442,SL,-37083.38,1332883.47
2025-07-13 08:00:00+00:00,LINKUSDT,-1.0267017647058823,SL,-34211.85,1298671.62
2025-07-14 00:00:00+00:00,DOGEUSDT,-1.0080803547066848,SL,-32729.13,1265942.49
2025-07-14 08:00:00+00:00,DOGEUSDT,-1.0286682242990655,SL,-32555.87,1233386.62
2025-07-14 08:00:00+00:00,SOLUSDT,0.9582325000000006,BE,29546.78,1262933.4
2025-07-16 04:00:00+00:00,LINKUSDT,-1.0536833333333333,SL,-33268.3,1229665.1
2025-07-16 04:00:00+00:00,XRPUSDT,0.9671876404494382,BE,29732.92,1259398.02
2025-07-16 12:00:00+00:00,LINKUSDT,-1.061955696202534,SL,-33435.62,1225962.4
2025-07-16 16:00:00+00:00,SOLUSDT,-1.0543489130434773,SL,-32314.8,1193647.6
2025-07-17 00:00:00+00:00,DOGEUSDT,-1.0309995049504952,SL,-30766.25,1162881.34
2025-07-17 12:00:00+00:00,SOLUSDT,-1.0259686567164181,SL,-29827.0,1133054.35
2025-07-18 08:00:00+00:00,BTCUSDT,2.95117931501286,BE,83596.16,1216650.51
2025-07-22 16:00:00+00:00,XRPUSDT,-1.0188560714285715,SL,-30989.79,1185660.72
2025-07-22 20:00:00+00:00,LINKUSDT,0.9910701538461538,BE,29376.82,1215037.54
2025-07-23 04:00:00+00:00,DOGEUSDT,7.630345454545451,TP,231778.9,1446816.45
2025-07-23 04:00:00+00:00,XRPUSDT,2.9637418367346937,BE,107199.76,1554016.21
2025-08-01 12:00:00+00:00,DOGEUSDT,-1.0229617100371748,SL,-39742.48,1514273.73
2025-08-01 12:00:00+00:00,SOLUSDT,-1.0243057416267942,SL,-38776.98,1475496.75
2025-08-02 00:00:00+00:00,BTCUSDT,-1.3245799426934188,SL,-48860.34,1426636.41
2025-08-02 04:00:00+00:00,DOGEUSDT,-1.010497386759582,SL,-36040.31,1390596.11
2025-08-02 16:00:00+00:00,BTCUSDT,-1.031810348685437,SL,-35870.79,1354725.32
2025-08-02 20:00:00+00:00,XRPUSDT,-1.1035000000000001,SL,-37373.48,1317351.83
2025-08-07 20:00:00+00:00,LINKUSDT,-1.0210614173228347,SL,-33627.43,1283724.41
2025-08-08 00:00:00+00:00,BTCUSDT,-1.4419353826850851,SL,-46276.19,1237448.22
2025-08-08 04:00:00+00:00,DOGEUSDT,-1.0865597402597411,SL,-33614.04,1203834.18
2025-08-08 04:00:00+00:00,XRPUSDT,-1.06592251655629,SL,-32079.85,1171754.33
2025-08-08 12:00:00+00:00,SOLUSDT,-1.07275616438356,SL,-31425.17,1140329.16
2025-08-09 00:00:00+00:00,SOLUSDT,2.9553975000000006,BE,84253.15,1224582.31
2025-08-09 00:00:00+00:00,XRPUSDT,2.977245681818182,BE,91147.06,1315729.37
2025-08-09 12:00:00+00:00,SOLUSDT,-1.0347192307692308,SL,-34035.26,1281694.11
2025-08-10 08:00:00+00:00,BTCUSDT,6.2228,TP,199393.15,1481087.26
2025-08-10 08:00:00+00:00,SOLUSDT,5.946660576923077,BE,220188.08,1701275.34
2025-08-10 16:00:00+00:00,BTCUSDT,-1.0802731734901596,SL,-45946.05,1655329.29
2025-08-11 08:00:00+00:00,DOGEUSDT,0.9917678738317757,BE,41042.56,1696371.85
2025-08-11 08:00:00+00:00,SOLUSDT,7.913239062499998,TP,335594.9,2031966.75
2025-08-12 20:00:00+00:00,LINKUSDT,7.919976666666667,TP,402328.23,2434294.98
2025-08-13 00:00:00+00:00,SOLUSDT,-1.1191375000000026,SL,-68107.77,2366187.21
2025-08-13 12:00:00+00:00,DOGEUSDT,-1.6677454545454609,SL,-98654.95,2267532.26
2025-08-13 16:00:00+00:00,BTCUSDT,-1.2102413953488371,SL,-68606.54,2198925.73
2025-08-14 00:00:00+00:00,DOGEUSDT,-1.0108690936106983,SL,-55570.65,2143355.08
2025-08-17 12:00:00+00:00,LINKUSDT,-1.0271858208955227,SL,-55040.6,2088314.48
2025-08-18 20:00:00+00:00,LINKUSDT,-1.0090463733650417,SL,-52680.15,2035634.33
2025-08-20 00:00:00+00:00,BTCUSDT,-1.0932475536008788,SL,-55636.31,1979998.02
2025-08-20 00:00:00+00:00,XRPUSDT,-1.1627528301886767,SL,-57556.21,1922441.81
2025-08-20 20:00:00+00:00,LINKUSDT,-1.0150533849129595,SL,-48784.53,1873657.28
2025-08-22 00:00:00+00:00,BTCUSDT,5.838860919540232,BE,273500.61,2147157.89
2025-08-23 00:00:00+00:00,DOGEUSDT,-1.0688615384615376,SL,-57375.36,2089782.53
