symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,delta_vs_tp_only,delta_vs_stage1,win_pct,max_dd_r,avg_hold_h
LINKUSDT,5.0,0.5,1.0,1.25,2.0,25.9985,-12.0,6.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,1.25,2.5,30.9985,-7.0,11.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,1.25,3.0,35.9985,-2.0,16.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,1.5,1.5,20.9985,-17.0,1.0,37.88,9.5994,50.85
LINKUSDT,5.0,0.5,1.0,1.5,2.0,25.9985,-12.0,6.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,1.5,2.5,30.9985,-7.0,11.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,1.5,3.0,35.9985,-2.0,16.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,1.75,1.5,20.4985,-17.5,0.5,37.88,9.5994,50.85
LINKUSDT,5.0,0.5,1.0,1.75,2.0,24.9985,-13.0,5.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,1.75,2.5,29.4985,-8.5,9.5,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,1.75,3.0,33.9985,-4.0,14.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,2.0,1.5,19.4985,-18.5,-0.5,37.88,9.5994,50.85
LINKUSDT,5.0,0.5,1.0,2.0,2.0,22.9985,-15.0,3.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,2.0,2.5,26.4985,-11.5,6.5,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,2.0,3.0,29.9985,-8.0,10.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,2.5,1.5,19.4985,-18.5,-0.5,37.88,9.5994,50.85
LINKUSDT,5.0,0.5,1.0,2.5,2.0,22.9985,-15.0,3.0,37.88,9.5994,50.79
